platformGameId,team_side,building_destroyed,destroyed_opponent_buildings,champion_kill,baron_kill,riftHerald_kill,dragon_kill,first_baron_team,first_riftHerald_team,vision_score,game_time,game_end,long_official_team_id
ESPORTSTMNT03:3198612,200,2,14,27,1,2,4,1,1,10,2500,1,110733870612047344
ESPORTSTMNT03:3198612,100,14,2,6,0,0,0,0,0,10,2500,0,110733877357854829
ESPORTSTMNT03:3198621,200,12,8,21,0,2,2,0,1,10,2500,0,107580497041999074
ESPORTSTMNT03:3198621,100,8,12,22,2,0,2,1,0,10,2500,1,110733864366329081
ESPORTSTMNT03:3198621,300,0,12,1,0,0,0,0,0,10,2500,0,None
ESPORTSTMNT03:3199172,200,2,14,27,1,1,2,1,0,10,2500,1,110733870612047344
ESPORTSTMNT03:3199172,100,14,2,11,0,1,1,0,1,10,2500,0,110534741480867943
ESPORTSTMNT03:3199178,200,3,9,32,2,2,3,1,1,10,2500,1,110733889090164854
ESPORTSTMNT03:3199178,100,9,3,14,0,0,1,0,0,10,2500,0,110534732558665825
ESPORTSTMNT03:3199274,200,12,1,10,0,0,1,0,0,10,2500,0,110534714934488523
ESPORTSTMNT03:3199274,100,1,12,30,1,2,2,1,1,10,2500,1,110733864366329081
ESPORTSTMNT03:3199520,200,13,3,10,0,1,0,0,0,10,2500,0,109981647134921596
ESPORTSTMNT03:3199520,100,3,13,25,2,1,5,1,1,10,2500,1,110534696811298545
ESPORTSTMNT03:3199525,200,3,10,22,2,0,1,1,0,10,2500,1,107580483738977500
ESPORTSTMNT03:3199525,100,10,3,11,0,2,3,0,1,10,2500,0,110534714934488523
ESPORTSTMNT03:3199526,200,8,7,29,0,0,4,0,0,10,2500,1,110534741480867943
ESPORTSTMNT03:3199526,100,7,8,6,1,2,0,1,1,10,2500,0,107580497041999074
ESPORTSTMNT03:3199528,200,4,15,28,3,2,1,1,1,10,2500,1,107580497041999074
ESPORTSTMNT03:3199528,100,15,4,32,1,0,5,0,0,10,2500,0,110534741480867943
ESPORTSTMNT03:3200156,200,3,13,29,1,1,4,1,1,10,2500,1,109981650516317055
ESPORTSTMNT03:3200156,100,13,3,13,0,1,0,0,0,10,2500,0,110733877357854829
ESPORTSTMNT03:3200165,200,1,11,17,1,1,2,1,1,10,2500,1,107580497041999074
ESPORTSTMNT03:3200165,100,11,1,3,0,1,1,0,0,10,2500,0,110534728305628996
ESPORTSTMNT03:3200168,200,9,4,12,0,2,2,0,1,10,2500,0,110534732558665825
ESPORTSTMNT03:3200168,100,4,9,24,1,0,3,1,0,10,2500,1,110733889090164854
ESPORTSTMNT03:3200536,200,2,12,15,2,0,3,1,0,10,2500,1,109981647134921596
ESPORTSTMNT03:3200536,100,12,2,15,0,2,2,0,1,10,2500,0,110534696811298545
ESPORTSTMNT03:3200539,200,7,16,21,3,1,3,1,0,10,2500,1,110534696811298545
ESPORTSTMNT03:3200539,100,16,7,19,0,1,3,0,1,10,2500,0,109981647134921596
ESPORTSTMNT03:3200543,200,13,2,4,0,1,2,0,0,10,2500,0,110534714934488523
ESPORTSTMNT03:3200543,100,2,13,16,1,1,1,1,1,10,2500,1,107580483738977500
ESPORTSTMNT03:3200605,200,3,13,25,1,0,3,1,0,10,2500,1,109981650516317055
ESPORTSTMNT03:3200605,100,13,3,21,0,2,1,0,1,10,2500,0,110534696811298545
ESPORTSTMNT03:3200607,200,10,2,11,0,1,0,0,1,10,2500,0,110733877357854829
ESPORTSTMNT03:3200607,100,2,10,33,1,1,3,1,0,10,2500,1,110733870612047344
ESPORTSTMNT03:3200609,200,9,4,23,0,1,2,0,1,10,2500,0,109783149221216052
ESPORTSTMNT03:3200609,100,4,9,28,2,1,4,1,0,10,2500,1,107580483738977500
ESPORTSTMNT03:3200613,200,6,11,30,0,2,2,0,1,10,2500,1,107580497041999074
ESPORTSTMNT03:3200613,100,11,6,12,2,0,3,1,0,10,2500,0,110733864366329081
ESPORTSTMNT03:3200614,200,3,11,18,1,1,3,1,1,10,2500,1,107580497041999074
ESPORTSTMNT03:3200614,100,11,3,10,0,1,1,0,0,10,2500,0,110733864366329081
